name_ar,category,full_address,phone_number,website,rating,city_ar,region_ar,latitude,longitude,google_maps_url
إينوك,N/A,"Khaleej Rd, قرطبة، سيهات‎ 32453",800 897 1440,http://www.enoc.com/,4.1,سيهات,المنطقة الشرقية,26.5052776,50.0366739,"https://www.google.com/maps/place/%D8%A5%D9%8A%D9%86%D9%88%D9%83%E2%80%AD/@26.5052776,50.0366739,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffad4ad65acb:0x67166ee94d222614!8m2!3d26.5052776!4d50.0366739!16s%2Fg%2F11qqhxflpk?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
محطة توتال,N/A,"Unnamed Road, الكوثر، سيهات‎ 32431",9200 12516,N/A,4.0,سيهات,المنطقة الشرقية,26.4781875,50.0561875,"https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%AA%D9%88%D8%AA%D8%A7%D9%84%E2%80%AD/@26.4781875,50.0561875,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff4c6f97ad4d:0x7378424dffc80099!8m2!3d26.4781875!4d50.0561875!16s%2Fg%2F11r_tsl8pd?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
محطة مزايا 6سيهات,N/A,"8357 طريق الظهران الجبيل السريع، 2244، الخضرية, 2244، الدمام 32436",9200 17720,N/A,3.8,سيهات,المنطقة الشرقية,26.458637,50.0320233,"https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D9%85%D8%B2%D8%A7%D9%8A%D8%A7+6%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/@26.458637,50.0320233,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe0e49a471d1:0x5d68da7b9cddd096!8m2!3d26.458637!4d50.0320233!16s%2Fg%2F11c54bgql0?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
محطة المؤمل,N/A,G24J+836، طريق الملك عبدالعزيز، قرطبة، سيهات‎ 32453,N/A,N/A,3.6,سيهات,المنطقة الشرقية,26.5057809,50.0301504,"https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D9%85%D8%A4%D9%85%D9%84%E2%80%AD/@26.5057809,50.0301504,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffc3217fbe47:0xd5cdf5f3ffe8cefa!8m2!3d26.5057809!4d50.0301504!16s%2Fg%2F11cllj3qln?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
E150 - Liter Gas Station | محطة لتر,N/A,F2RM+786، الطف، سيهات‎ 32461,9200 11285,http://www.litergroup.com/,3.0,سيهات,المنطقة الشرقية,26.490794,50.0332898,"https://www.google.com/maps/place/E150+-+Liter+Gas+Station+%7C+%D9%85%D8%AD%D8%B7%D8%A9+%D9%84%D8%AA%D8%B1%E2%80%AD/@26.490794,50.0332898,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff4958c673b3:0xf1b92fc6479e4d7c!8m2!3d26.490794!4d50.0332898!16s%2Fg%2F11ywgp63jj?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
محطة وقود,N/A,EMPA7022، 4305 طريق الملك عبدالعزيز، 7022، سيهات‎ 32463,N/A,N/A,2.4,سيهات,المنطقة الشرقية,26.5011098,50.0303432,"https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D9%88%D9%82%D9%88%D8%AF%E2%80%AD/@26.5011098,50.0303432,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff000bba7135:0x78ba812914d88bd5!8m2!3d26.5011098!4d50.0303432!16s%2Fg%2F11lybx_9kj?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
محطة بترو البيان,N/A,F2RM+88F، الطف، سيهات‎ 32461,N/A,N/A,3.5,سيهات,المنطقة الشرقية,26.4908052,50.0333054,"https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A8%D8%AA%D8%B1%D9%88+%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%E2%80%AD/@26.4908052,50.0333054,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffccbb9188eb:0x2dadc01a07509004!8m2!3d26.4908052!4d50.0333054!16s%2Fg%2F11csr1zgz0?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
محطة ريبن للوقود,N/A,شارع مكه المكرمه، سيهات‎ 32461,054 597 3666,N/A,3.8,سيهات,المنطقة الشرقية,26.4832945,50.0332511,"https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%B1%D9%8A%D8%A8%D9%86+%D9%84%D9%84%D9%88%D9%82%D9%88%D8%AF%E2%80%AD/@26.4832945,50.0332511,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffef9ece2be1:0x298f729b06d4a15c!8m2!3d26.4832945!4d50.0332511!16s%2Fg%2F11n0gmwzq5?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مزايا للوقود سيهات,N/A,طريق الظهران الجبيل الفرعي، الصناعية، الدمام 32443,9200 17720,https://www.mazayafuel.com/,4.2,سيهات,المنطقة الشرقية,26.4630256,50.0248111,"https://www.google.com/maps/place/%D9%85%D8%B2%D8%A7%D9%8A%D8%A7+%D9%84%D9%84%D9%88%D9%82%D9%88%D8%AF+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/@26.4630256,50.0248111,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe195b69abd3:0x22c4209e1e1a2a0b!8m2!3d26.4630256!4d50.0248111!16s%2Fg%2F11ckvv0k7r?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
جامع الزهراء عليها السلام,N/A,شارع سعد الأنصاري، قرطبة، سيهات‎ 32453,059 456 8520,N/A,4.8,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/%D8%AC%D8%A7%D9%85%D8%B9+%D8%A7%D9%84%D8%B2%D9%87%D8%B1%D8%A7%D8%A1+%D8%B9%D9%84%D9%8A%D9%87%D8%A7+%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85%E2%80%AD/data=!4m7!3m6!1s0x3e49ffc5fd579ff9:0x4432fbaf14794882!8m2!3d26.5006262!4d50.0341941!16s%2Fg%2F12hm1zm1c!19sChIJ-Z9X_cX_ST4Rgkh5FK_7MkQ?authuser=0&hl=ar&rclk=1
