name_ar,category,full_address,phone_number,website,rating,plus_code,opening_times,opening_status,price_range,city_ar,region_ar,latitude,longitude,google_maps_url
مستوصف المحدود,مركز الرعاية الصحية للأطفال,F2WP+XV2، قرطبة، سيهات‎ 32453,N/A,N/A,2.5,F2WP+XV2,"{""الأحد"": ""نعمل على مدار 24 ساعة""}",مفتوح على مدار الساعة,N/A,سيهات,المنطقة الشرقية,26.4973961,50.0371292,"https://www.google.com/maps/place/%D9%85%D8%B3%D8%AA%D9%88%D8%B5%D9%81+%D8%A7%D9%84%D9%85%D8%AD%D8%AF%D9%88%D8%AF%E2%80%AD/@26.4973961,50.0371292,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffc9a21296d5:0x214e34e29b5b244e!8m2!3d26.4973961!4d50.0371292!16s%2Fg%2F11gfk1hy2m?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
عيادات شركة أمين عبدالله الشيخ ناصر للأسنان,عِيادة أسنان,7204 طريق الملك عبدالعزيز، 3134، سيهات‎,013 839 2417,http://www.instagram.com/xdentalcarex/,4.1,F2RQ+4X,N/A,مغلق مؤقتًا,N/A,سيهات,المنطقة الشرقية,26.490367,50.039923,"https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%B4%D8%B1%D9%83%D8%A9+%D8%A3%D9%85%D9%8A%D9%86+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87+%D8%A7%D9%84%D8%B4%D9%8A%D8%AE+%D9%86%D8%A7%D8%B5%D8%B1+%D9%84%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/@26.490367,50.039923,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe4a8ea7e0dd:0x6f1906597343f6b2!8m2!3d26.490367!4d50.039923!16s%2Fg%2F11clynl02c?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
أسواق المنتزه,سوبرماركت,ابن السباعي، النور، سيهات‎ 32452,055 200 0536,https://muntazah.com/,4.2,F2QR+G7,"{""الأحد"": ""٦:٠٠ص–١:٤٥ص""}",مفتوح · يغلق عند الساعة ١:٤٥ ص,N/A,سيهات,المنطقة الشرقية,26.4888398,50.0406338,"https://www.google.com/maps/place/%D8%A3%D8%B3%D9%88%D8%A7%D9%82+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D9%87%E2%80%AD/@26.4888398,50.0406338,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe4a6b8eb729:0x92eb4b8d247cab84!8m2!3d26.4888398!4d50.0406338!16s%2Fg%2F1q6qcxn7g?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
أسواق المنتزه | Muntazah Markets,سوبرماركت,"Khaleej Rd, غرناطة، سيهات‎ 32434",055 200 0536,https://www.muntazah.com/,4.2,F3G4+7F,"{""الأحد"": ""نعمل على مدار 24 ساعة""}",مفتوح على مدار الساعة,N/A,سيهات,المنطقة الشرقية,26.475649,50.0562114,"https://www.google.com/maps/place/%D8%A3%D8%B3%D9%88%D8%A7%D9%82+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D9%87+%7C+Muntazah+Markets%E2%80%AD/@26.475649,50.0562114,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff1b0739a565:0xf4fb4616e7be2401!8m2!3d26.475649!4d50.0562114!16s%2Fg%2F11k2wdvg75?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
Nahla Markets - اسواق نهلة,سوبرماركت,غرناطة، سيهات‎ 32434,054 114 9651,https://nahlamarkets.com/,4.5,F3G2+7J,"{""الأحد"": ""٧:٠٠ص–٢:٣٠ص""}",مفتوح · يغلق عند الساعة ٢:٣٠ ص,N/A,سيهات,المنطقة الشرقية,26.4756406,50.0516035,"https://www.google.com/maps/place/Nahla+Markets+-+%D8%A7%D8%B3%D9%88%D8%A7%D9%82+%D9%86%D9%87%D9%84%D8%A9%E2%80%AD/@26.4756406,50.0516035,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffb3e7d5bfa5:0x22abfb2fe615262!8m2!3d26.4756406!4d50.0516035!16s%2Fg%2F11wx8lmk_l?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
سوبر ماركت الرضا,سوبرماركت,F2HX+3R5، شارع أحمد شوقي، غرناطة، سيهات‎ 32434,N/A,N/A,3.7,F2HX+3R5,"{""الأحد"": ""٦:٣٠ص–١٢:٠٠ص""}",مفتوح · يغلق عند الساعة ١٢ ص,N/A,سيهات,المنطقة الشرقية,26.47763,50.0496078,"https://www.google.com/maps/place/%D8%B3%D9%88%D8%A8%D8%B1+%D9%85%D8%A7%D8%B1%D9%83%D8%AA+%D8%A7%D9%84%D8%B1%D8%B6%D8%A7%E2%80%AD/@26.47763,50.0496078,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe5d2d70e705:0x127ab9a062e64918!8m2!3d26.47763!4d50.0496078!16s%2Fg%2F11cn06djv2?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
اسواق الحسين الاقتصادية,متجر بقالة,"EMGB7549, 7549 Khaleej Rd, 2362، حي الكوثر،، سيهات‎ 32431،",056 558 8535,https://instagram.com/alhusseinmarkets?igshid=YmMyMTA2M2Y=,4.0,F3G4+MM,"{""الأحد"": ""٧:٠٠ص–١١:٠٠م""}",مفتوح · يغلق عند الساعة ١١ م,N/A,سيهات,المنطقة الشرقية,26.4766381,50.0567344,"https://www.google.com/maps/place/%D8%A7%D8%B3%D9%88%D8%A7%D9%82+%D8%A7%D9%84%D8%AD%D8%B3%D9%8A%D9%86+%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D9%8A%D8%A9%E2%80%AD/@26.4766381,50.0567344,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff519aaee229:0x13d489999287817b!8m2!3d26.4766381!4d50.0567344!16s%2Fg%2F11t6x8blgm?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
سوبر ماركت الدبيس,متجر بقالة,الطف، سيهات‎ 32462,013 803 2765,N/A,4.4,F2RJ+H7,"{""الأحد"": ""٦:٣٠ص–٢:٣٠ص""}",مفتوح · يغلق عند الساعة ٢:٣٠ ص,N/A,سيهات,المنطقة الشرقية,26.4914375,50.0306875,"https://www.google.com/maps/place/%D8%B3%D9%88%D8%A8%D8%B1+%D9%85%D8%A7%D8%B1%D9%83%D8%AA+%D8%A7%D9%84%D8%AF%D8%A8%D9%8A%D8%B3%E2%80%AD/@26.4914375,50.0306875,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffcda783e78b:0xde4930e7051235bf!8m2!3d26.4914375!4d50.0306875!16s%2Fg%2F11c1nxsdmj?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
سوبر ماركت مدد البيان,سوبرماركت,الصناعية، سيهات‎ 32471,013 818 8096,https://admarket.sa/,4.5,F289+R8,"{""الأحد"": ""نعمل على مدار 24 ساعة""}",مفتوح على مدار الساعة,N/A,سيهات,المنطقة الشرقية,26.4671108,50.0182756,"https://www.google.com/maps/place/%D8%B3%D9%88%D8%A8%D8%B1+%D9%85%D8%A7%D8%B1%D9%83%D8%AA+%D9%85%D8%AF%D8%AF+%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%E2%80%AD/@26.4671108,50.0182756,17z/data=!3m1!4b1!4m6!3m5!1s0x3e3601d3cb1c7bb7:0x42c41550bcba2cec!8m2!3d26.4671108!4d50.0182756!16s%2Fg%2F11gxy9rszl?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
لولو هايبر ماركت - سيهات,سوق ضخمة,"3917 6744 Al Musib Ibn Rafi, المنتزه، سيهات‎ 32452",800 100 0330,https://www.luluhypermarket.com/en-sa,4.3,F2PX+V2,"{""الأحد"": ""٨:٠٠ص–١:٠٠ص""}",مفتوح · يغلق عند الساعة ١ ص,N/A,سيهات,المنطقة الشرقية,26.4871339,50.0475947,"https://www.google.com/maps/place/%D9%84%D9%88%D9%84%D9%88+%D9%87%D8%A7%D9%8A%D8%A8%D8%B1+%D9%85%D8%A7%D8%B1%D9%83%D8%AA+-+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/@26.4871339,50.0475947,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff43707f3757:0x75876e9e1d0ba52!8m2!3d26.4871339!4d50.0475947!16s%2Fg%2F11rcv0t59_?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
